At time 2, process 1 started. Arr: 2, remain: 7,Total:7, wait: 0.
At time 4, process 1 stopped. Arr: 2, remain: 5,Total:7, wait: 0.
At time 4, process 2 started. Arr: 4, remain: 3,Total:3, wait: 0.
At time 5, process 2 stopped. Arr: 4, remain: 2,Total:3, wait: 0.
At time 5, process 1 resumed. Arr: 2, remain: 5,Total:7, wait: 1.
At time 6, process 1 stopped. Arr: 2, remain: 4,Total:7, wait: 1.
At time 6, process 2 resumed. Arr: 4, remain: 2,Total:3, wait: 1.
At time 7, process 2 stopped. Arr: 4, remain: 1,Total:3, wait: 1.
At time 7, process 1 resumed. Arr: 2, remain: 4,Total:7, wait: 2.
At time 8, process 1 stopped. Arr: 2, remain: 3,Total:7, wait: 2.
At time 8, process 2 resumed. Arr: 4, remain: 1,Total:3, wait: 2.
At time 9, process 2 finished. Arr: 4, remain: 0,Total:3, wait: 2. TA 5 WTA 1.67
At time 9, process 1 resumed. Arr: 2, remain: 3,Total:7, wait: 3.
At time 10, process 1 stopped. Arr: 2, remain: 2,Total:7, wait: 3.
At time 10, process 3 started. Arr: 10, remain: 1,Total:1, wait: 0.
At time 11, process 3 finished. Arr: 10, remain: 0,Total:1, wait: 0. TA 1 WTA 1.00
At time 11, process 4 started. Arr: 11, remain: 2,Total:2, wait: 0.
At time 12, process 4 stopped. Arr: 11, remain: 1,Total:2, wait: 0.
At time 12, process 1 resumed. Arr: 2, remain: 2,Total:7, wait: 5.
At time 13, process 1 stopped. Arr: 2, remain: 1,Total:7, wait: 5.
At time 13, process 4 resumed. Arr: 11, remain: 1,Total:2, wait: 1.
At time 14, process 4 finished. Arr: 11, remain: 0,Total:2, wait: 1. TA 3 WTA 1.50
At time 14, process 1 resumed. Arr: 2, remain: 1,Total:7, wait: 6.
At time 15, process 1 finished. Arr: 2, remain: 0,Total:7, wait: 6. TA 13 WTA 1.86
At time 18, process 5 started. Arr: 18, remain: 10,Total:10, wait: 0.
At time 28, process 5 finished. Arr: 18, remain: 0,Total:10, wait: 0. TA 10 WTA 1.00
